Point,Started on offense?,Scored?,our_score_start,opp_score_start,point_possessions_total,point_passes_total,point_turnovers_total,point_blocks_total,team_line,point_result,num_possessions,first_possession_scored,any_possession_scored,clean_hold,hold,broken,break_scored,break_chance,game_id,point_uid
7,0,0,1,5,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Cookit Cutters,Cookit Cutters_P07
8,1,1,1,6,1,8,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Cookit Cutters,Cookit Cutters_P08
9,0,1,2,6,2,4,1,0,D,1,2.0,0.0,1.0,0,0,0,1,1,Cookit Cutters,Cookit Cutters_P09
10,0,0,3,6,9,34,9,4,D,0,9.0,0.0,0.0,0,0,0,0,1,Cookit Cutters,Cookit Cutters_P10
11,0,0,3,7,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Cookit Cutters,Cookit Cutters_P11
12,1,1,3,8,5,13,4,1,O,1,5.0,0.0,1.0,0,1,0,0,0,Cookit Cutters,Cookit Cutters_P12
13,0,0,4,8,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Cookit Cutters,Cookit Cutters_P13
14,1,0,4,9,1,10,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P14
15,1,0,4,10,3,20,3,2,O,0,3.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P15
16,1,0,4,11,2,7,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P16
17,1,0,4,12,1,4,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P17
18,1,1,4,13,2,4,1,1,O,1,2.0,0.0,1.0,0,1,0,0,0,Cookit Cutters,Cookit Cutters_P18
19,0,1,5,13,3,10,2,1,D,1,3.0,0.0,1.0,0,0,0,1,1,Cookit Cutters,Cookit Cutters_P19
20,0,0,6,13,1,5,1,1,D,0,1.0,0.0,0.0,0,0,0,0,1,Cookit Cutters,Cookit Cutters_P20
21,1,0,6,14,0,0,0,0,O,0,0.0,0.0,0.0,0,0,1,0,0,Cookit Cutters,Cookit Cutters_P21
1,0,0,0,0,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Disc Diva,Disc Diva_P01
2,1,1,0,1,1,5,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Disc Diva,Disc Diva_P02
3,0,0,1,1,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Disc Diva,Disc Diva_P03
4,1,1,1,2,1,4,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Disc Diva,Disc Diva_P04
5,0,0,2,2,2,5,2,0,D,0,2.0,0.0,0.0,0,0,0,0,1,Disc Diva,Disc Diva_P05
6,1,1,2,3,4,18,3,1,O,1,4.0,0.0,1.0,0,1,0,0,0,Disc Diva,Disc Diva_P06
7,0,1,3,3,2,4,1,2,D,1,2.0,0.0,1.0,0,0,0,1,1,Disc Diva,Disc Diva_P07
8,0,1,4,3,5,21,4,3,D,1,5.0,0.0,1.0,0,0,0,1,1,Disc Diva,Disc Diva_P08
9,0,0,5,3,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Disc Diva,Disc Diva_P09
10,1,0,5,4,1,3,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P10
11,1,0,5,5,2,6,2,1,O,0,2.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P11
12,1,0,5,6,1,8,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P12
13,1,1,5,7,1,4,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Disc Diva,Disc Diva_P13
14,0,0,6,7,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Disc Diva,Disc Diva_P14
15,1,0,6,8,1,3,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P15
16,1,0,6,9,1,5,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P16
17,1,1,6,10,1,9,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Disc Diva,Disc Diva_P17
18,0,0,7,10,2,10,2,0,D,0,2.0,0.0,0.0,0,0,0,0,1,Disc Diva,Disc Diva_P18
19,1,0,7,11,2,7,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P19
20,1,0,7,12,2,3,2,1,O,0,2.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P20
21,1,0,7,13,9,22,9,3,O,0,9.0,0.0,0.0,0,0,1,0,0,Disc Diva,Disc Diva_P21
22,1,1,7,14,1,6,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Disc Diva,Disc Diva_P22
23,0,1,8,14,2,8,1,0,D,1,2.0,0.0,1.0,0,0,0,1,1,Disc Diva,Disc Diva_P23
24,0,0,9,14,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Disc Diva,Disc Diva_P24
1,1,0,0,0,1,5,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Flat Ballers Association,Flat Ballers Association_P01
2,1,0,0,1,2,7,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Flat Ballers Association,Flat Ballers Association_P02
3,1,1,0,2,1,7,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P03
4,0,0,1,2,1,8,1,0,D,0,1.0,0.0,0.0,0,0,0,0,1,Flat Ballers Association,Flat Ballers Association_P04
5,1,1,1,3,7,20,6,2,O,1,7.0,0.0,1.0,0,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P05
6,0,1,2,3,1,4,0,0,D,1,1.0,1.0,1.0,0,0,0,1,1,Flat Ballers Association,Flat Ballers Association_P06
7,0,1,3,3,3,7,2,0,D,1,3.0,0.0,1.0,0,0,0,1,1,Flat Ballers Association,Flat Ballers Association_P07
8,0,1,4,3,5,12,4,1,D,1,5.0,0.0,1.0,0,0,0,1,1,Flat Ballers Association,Flat Ballers Association_P08
9,0,1,5,3,1,1,0,0,D,1,1.0,1.0,1.0,0,0,0,1,1,Flat Ballers Association,Flat Ballers Association_P09
10,0,0,6,3,2,5,2,0,D,0,2.0,0.0,0.0,0,0,0,0,1,Flat Ballers Association,Flat Ballers Association_P10
11,1,1,6,4,3,6,2,1,O,1,3.0,0.0,1.0,0,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P11
12,0,0,7,4,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Flat Ballers Association,Flat Ballers Association_P12
13,1,1,7,5,3,12,2,0,O,1,3.0,0.0,1.0,0,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P13
14,0,1,8,5,5,17,4,2,D,1,5.0,0.0,1.0,0,0,0,1,1,Flat Ballers Association,Flat Ballers Association_P14
15,0,1,9,5,6,14,5,2,D,1,6.0,0.0,1.0,0,0,0,1,1,Flat Ballers Association,Flat Ballers Association_P15
16,0,0,10,5,2,7,2,1,D,0,2.0,0.0,0.0,0,0,0,0,1,Flat Ballers Association,Flat Ballers Association_P16
17,1,1,10,6,3,5,2,2,O,1,3.0,0.0,1.0,0,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P17
18,0,0,11,6,3,6,3,2,D,0,3.0,0.0,0.0,0,0,0,0,1,Flat Ballers Association,Flat Ballers Association_P18
19,1,1,11,7,2,5,1,0,O,1,2.0,0.0,1.0,0,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P19
20,0,0,12,7,1,2,1,1,D,0,1.0,0.0,0.0,0,0,0,0,1,Flat Ballers Association,Flat Ballers Association_P20
21,1,0,12,8,4,7,4,1,O,0,4.0,0.0,0.0,0,0,1,0,0,Flat Ballers Association,Flat Ballers Association_P21
22,1,0,12,9,1,7,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Flat Ballers Association,Flat Ballers Association_P22
23,1,1,12,10,1,7,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Flat Ballers Association,Flat Ballers Association_P23
24,0,0,13,10,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Flat Ballers Association,Flat Ballers Association_P24
1,0,0,0,0,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Mild Threat,Mild Threat_P01
2,1,0,0,1,1,3,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Mild Threat,Mild Threat_P02
3,1,0,0,2,2,10,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Mild Threat,Mild Threat_P03
4,1,1,0,3,1,3,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Mild Threat,Mild Threat_P04
5,0,1,1,3,2,7,1,1,D,1,2.0,0.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P05
6,0,1,2,3,1,1,0,1,D,1,1.0,1.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P06
7,0,0,3,3,2,3,2,0,D,0,2.0,0.0,0.0,0,0,0,0,1,Mild Threat,Mild Threat_P07
8,1,0,3,4,2,6,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Mild Threat,Mild Threat_P08
9,1,1,3,5,3,10,2,0,O,1,3.0,0.0,1.0,0,1,0,0,0,Mild Threat,Mild Threat_P09
10,0,1,4,5,2,5,1,2,D,1,2.0,0.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P10
11,0,0,5,5,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Mild Threat,Mild Threat_P11
12,1,1,5,6,2,7,1,0,O,1,2.0,0.0,1.0,0,1,0,0,0,Mild Threat,Mild Threat_P12
13,0,1,6,6,3,11,2,0,D,1,3.0,0.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P13
14,0,1,7,6,1,1,0,1,D,1,1.0,1.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P14
15,1,1,8,6,3,12,2,0,O,1,3.0,0.0,1.0,0,1,0,0,0,Mild Threat,Mild Threat_P15
16,0,1,9,6,5,14,4,0,D,1,5.0,0.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P16
17,0,1,10,6,3,11,2,1,D,1,3.0,0.0,1.0,0,0,0,1,1,Mild Threat,Mild Threat_P17
18,0,0,11,6,4,12,4,1,D,0,4.0,0.0,0.0,0,0,0,0,1,Mild Threat,Mild Threat_P18
19,1,0,11,7,2,3,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Mild Threat,Mild Threat_P19
20,1,0,11,8,2,11,2,0,O,0,2.0,0.0,0.0,0,0,1,0,0,Mild Threat,Mild Threat_P20
21,1,0,11,9,2,3,2,1,O,0,2.0,0.0,0.0,0,0,1,0,0,Mild Threat,Mild Threat_P21
22,1,1,11,10,1,8,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Mild Threat,Mild Threat_P22
23,0,0,12,10,3,12,3,1,D,0,3.0,0.0,0.0,0,0,0,0,1,Mild Threat,Mild Threat_P23
24,1,1,12,11,1,14,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Mild Threat,Mild Threat_P24
25,0,0,13,11,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Mild Threat,Mild Threat_P25
1,0,0,0,0,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Star,Star_P01
2,1,0,0,1,2,6,2,1,O,0,2.0,0.0,0.0,0,0,1,0,0,Star,Star_P02
3,1,1,0,2,3,21,2,0,O,1,3.0,0.0,1.0,0,1,0,0,0,Star,Star_P03
4,0,1,1,2,3,11,2,3,D,1,3.0,0.0,1.0,0,0,0,1,1,Star,Star_P04
5,0,1,2,2,3,13,2,1,D,1,3.0,0.0,1.0,0,0,0,1,1,Star,Star_P05
6,0,1,3,2,1,3,0,0,D,1,1.0,1.0,1.0,0,0,0,1,1,Star,Star_P06
7,0,1,4,2,1,10,0,0,D,1,1.0,1.0,1.0,0,0,0,1,1,Star,Star_P07
8,0,0,5,2,4,11,4,2,D,0,4.0,0.0,0.0,0,0,0,0,1,Star,Star_P08
9,1,1,5,3,1,4,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Star,Star_P09
10,0,1,6,3,2,2,1,0,D,1,2.0,0.0,1.0,0,0,0,1,1,Star,Star_P10
11,0,0,7,3,9,28,9,2,D,0,9.0,0.0,0.0,0,0,0,0,1,Star,Star_P11
12,1,0,7,4,1,2,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Star,Star_P12
13,1,1,7,5,2,7,1,0,O,1,2.0,0.0,1.0,0,1,0,0,0,Star,Star_P13
14,1,0,8,5,1,4,1,0,O,0,1.0,0.0,0.0,0,0,1,0,0,Star,Star_P14
15,1,0,8,6,3,17,3,1,O,0,3.0,0.0,0.0,0,0,1,0,0,Star,Star_P15
16,1,1,8,7,1,5,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Star,Star_P16
17,0,1,9,7,1,1,0,0,D,1,1.0,1.0,1.0,0,0,0,1,1,Star,Star_P17
18,0,1,10,7,1,4,0,0,D,1,1.0,1.0,1.0,0,0,0,1,1,Star,Star_P18
19,0,0,11,7,4,10,4,0,D,0,4.0,0.0,0.0,0,0,0,0,1,Star,Star_P19
20,1,1,11,8,1,4,0,0,O,1,1.0,1.0,1.0,1,1,0,0,0,Star,Star_P20
21,0,0,12,8,0,0,0,0,D,0,0.0,0.0,0.0,0,0,0,0,0,Star,Star_P21
